Timestamp,Image,Resolution,Num_Iterations,avg_CPU_Time_ms,avg_OpenCL_Time_ms,avg_OpenCL_kernel_ms,avg_OpenCL_kernel_write_ms,avg_OpenCL_kernel_read_ms,avg_OpenCL_kernel_operation_ms,Error_MAE,Image_Name,Width,Height,Pixel Count,Speedup,operation_speedup
2024-12-17 16:52:33, images/Artemis_square75.jpg, 75x75,100,0.052087,0.116551,0.074432,0.002144,0.001824,0.0784,2.90347,Artemis,75,75,5625,0.44690307247471067,0.664375
2024-12-17 16:52:33, images/Artemis_small240.jpg, 160x240,100,0.302837,0.133577,0.096864,0.005216,0.004704,0.106784,0.698151,Artemis,160,240,38400,2.2671343120447385,2.835977299970033
2024-12-17 16:52:33, images/Artemis_medium640.jpg, 427x640,100,2.81349,0.384933,0.081632,0.025536,0.025632,0.1328,0.183109,Artemis,427,640,273280,7.3090381962575295,21.185918674698794
2024-12-17 16:52:32, images/Artemis_large1024.jpg, 683x1023,100,7.66628,1.21269,0.207488,0.150016,0.063968,0.421472,0.088695,Artemis,683,1023,698709,6.321714535454238,18.1892984587351
