Timestamp,Image,Resolution,Num_Iterations,avg_CPU_Time_ms,avg_OpenCL_Time_ms,avg_OpenCL_kernel_ms,avg_OpenCL_kernel_write_ms,avg_OpenCL_kernel_read_ms,avg_OpenCL_kernel_operation_ms,Error_MAE,Image_Name,Width,Height,Pixel Count,Speedup,operation_speedup
2024-12-16 18:25:25, images/Artemis_square75.jpg, 75x75,10,0.21418,0.15644,0.082848,0.003456,0.002528,0.088832,0.0712889,Artemis,75,75,5625,1.369087189976988,2.4110680835734875
2024-12-16 18:25:25, images/Artemis_small240.jpg, 160x240,10,1.46178,0.27604,0.101984,0.02768,0.016064,0.145728,0.0823438,Artemis,160,240,38400,5.29553687871323,10.030879446640316
2024-12-16 18:25:25, images/Artemis_medium640.jpg, 427x640,10,11.0395,2.02989,0.116736,0.130912,0.09904,0.346688,0.0798375,Artemis,427,640,273280,5.438472035430491,31.842751984493262
2024-12-16 18:25:24, images/Artemis_large1024.jpg, 683x1023,10,30.4978,5.18819,0.231424,0.600256,0.982304,1.81398,0.0517054,Artemis,683,1023,698709,5.878312089572665,16.812644020330985
