Timestamp,Image,Resolution,Num_Iterations,avg_CPU_Time_ms,avg_OpenCL_Time_ms,avg_OpenCL_kernel_ms,Error_MAE,Image_Name,Width,Height,Pixel Count,Speedup
2024-12-13 15:39:28, images/Tulips_square75.jpg, 75x75,10,0.15504,0.12398,0.0137632,20.4452,Tulips,75,75,5625,1.2505242781093724
2024-12-13 15:39:28, images/Tulips_small240.jpg, 240x192,10,1.23696,0.14243,0.0041792,20.5089,Tulips,240,192,46080,8.684687214772168
2024-12-13 15:39:28, images/Tulips_medium640.jpg, 640x512,10,3.26881,1.00439,0.0199424,20.5046,Tulips,640,512,327680,3.2545226455858787
2024-12-13 15:39:27, images/Tulips_large1024.jpg, 1023x819,10,5.019,2.2346,0.0473504,20.5857,Tulips,1023,819,837837,2.2460395596527345
2024-12-13 15:39:28, images/Tulips_large2048.jpg, 2048x1639,10,14.2088,7.81799,0.15672,20.6937,Tulips,2048,1639,3356672,1.8174492420686135
