Timestamp,Image,Resolution,Num_Iterations,avg_CPU_Time_ms,avg_OpenCL_Time_ms,avg_OpenCL_kernel_ms,avg_OpenCL_kernel_write_ms,avg_OpenCL_kernel_read_ms,avg_OpenCL_kernel_operation_ms,Error_MAE,Image_Name,Width,Height,Pixel Count,Speedup,operation_speedup
2024-12-16 13:37:12, images/Artemis_square75.jpg, 75x75,100,0.154655,0.212653,0.06768,0.003456,0.003392,0.074528,9.78436,Artemis,75,75,5625,0.7272646047786769,2.075126127093173
2024-12-16 13:37:12, images/Artemis_small240.jpg, 160x240,100,1.07596,0.286108,0.053856,0.013888,0.015008,0.082752,10.0321,Artemis,160,240,38400,3.7606777860108775,13.002223511214229
2024-12-16 13:37:12, images/Artemis_medium640.jpg, 427x640,100,2.90252,2.49127,0.090112,0.140032,0.10704,0.337184,10.063,Artemis,427,640,273280,1.165076446952759,8.608119009205657
2024-12-16 13:37:12, images/Artemis_large1024.jpg, 683x1023,100,3.38297,4.53145,0.256736,0.359328,0.33248,0.948544,10.1065,Artemis,683,1023,698709,0.7465535314303368,3.5664871634842448
