Timestamp,Image,Resolution,Num_Iterations,avg_CPU_Time_ms,avg_OpenCL_Time_ms,avg_OpenCL_kernel_ms,avg_OpenCL_kernel_write_ms,avg_OpenCL_kernel_read_ms,avg_OpenCL_kernel_operation_ms,Error_MAE,Image_Name,Width,Height,Pixel Count,Speedup,operation_speedup
2024-12-20 15:31:17, images/Tulips_square75.jpg, 75x75,100,0.44179,0.113245,0.018432,0.004,0.002976,0.025408,1.27893,Tulips,75,75,5625,3.9011876904057576,17.387830604534006
2024-12-20 15:31:22, images/Tulips_small240.jpg, 240x192,100,3.1429,0.259103,0.022784,0.03136,0.01648,0.070624,0.751823,Tulips,240,192,46080,12.129925164895813,44.50186905301314
2024-12-20 15:31:20, images/Tulips_medium640.jpg, 640x512,100,23.2939,1.71524,0.124928,0.176576,0.107328,0.408832,0.572934,Tulips,640,512,327680,13.5805484946713,56.97670436756419
2024-12-20 15:31:33, images/Tulips_large1024.jpg, 1023x819,100,54.2896,2.5967,0.322816,0.948544,1.6624,2.93376,0.528438,Tulips,1023,819,837837,20.907151384449495,18.50512652705061
